,Country,Emissions
0,Austria,2054936.0
1,Belgium,9631007.0
2,Bulgaria,20880477.0
3,Croatia,1992056.0
4,Cyprus,3293851.0
5,Czech Republic,42944313.0
6,Denmark,3859820.0
7,Estonia,10991570.0
8,Finland,5340735.0
9,France,18034326.0
10,Germany,249469819.0
11,Greece,27125219.0
12,Hungary,8720886.0
13,Ireland,7104736.0
14,Italy,70734078.0
15,Latvia,836698.0
16,Malta,504298.0
17,Netherlands,40716370.0
18,Poland,139997180.0
19,Portugal,3782319.0
20,Romania,18206972.0
21,Slovakia,5665001.0
22,Slovenia,4554209.0
23,Spain,34821514.0
24,Sweden,247527.0
25,United Kingdom, 62805506.1123
